0 0 10
1 2.99697 12
2 0 17
3 0 9
4 0 16
5 4.03758 14
6 3.54121 11
7 0 9
8 3.46693 6
9 0 12
10 3.13484 12
11 0 17
12 4.77791 8
13 0 18
14 0 18
15 0 16
16 0 10
17 0 11
18 3.22746 14
19 0 10
20 4.74413 6
21 3.66723 15
22 3.22533 13
23 0 11
24 3.59845 14
25 4.16088 12
26 3.65184 18
27 2.23402 16
28 0 11
29 2.5207 13
30 0 17
31 0 14
32 0 9
33 3.82657 14
34 0 9
35 0 18
36 3.73042 9
37 0 8
38 3.46196 14
39 0 16
40 0 13
41 0 14
42 4.33861 13
43 0 12
44 3.93706 15
45 3.83753 11
46 0 8
47 0 12
48 3.47448 17
49 0 16
50 0 18
51 3.7539 9
52 4.44139 7
53 0 12
54 0 11
55 3.48457 16
56 3.98784 15
57 3.50546 15
58 3.48119 10
59 3.53423 10
60 4.12099 16
61 0 17
62 0 18
63 0 9
64 3.498 12
65 0 20
66 4.05569 18
67 0 14
68 0 16
69 0 15
70 0 9
71 3.53093 21
72 4.15808 10
73 0 12
74 0 10
75 0 11
76 3.08613 18
77 0 14
78 0 14
79 3.44051 13
80 0 14
81 4.23436 11
82 2.67141 12
83 0 4
84 0 10
85 1.97247 18
86 3.7513 12
87 0 8
88 3.99909 15
89 0 16
90 0 16
91 0 21
92 0 15
93 0 20
94 3.30778 12
95 0 10
96 3.70646 11
97 0 20
98 0 8
99 0 10
100 3.71921 14
101 3.69038 15
102 0 18
103 0 10
104 4.84585 3
105 0 9
106 0 19
107 2.83053 18
108 0 13
109 3.49202 10
110 0 13
111 4.33683 14
112 3.80216 10
113 2.5165 9
114 4.03567 14
115 4.13844 10
116 0 14
117 4.38146 11
118 3.42904 12
119 0 14
120 3.80806 8
121 4.24945 14
122 2.7954 11
123 0 9
124 0 15
125 0 15
126 0 10
127 4.25552 8
128 0 16
129 3.42461 14
130 2.99388 19
131 3.7572 14
132 0 12
133 1.80249 14
134 4.00499 10
135 0 17
136 2.9802 16
137 0 12
138 3.17347 19
139 0 14
140 3.57946 17
141 0 13
142 3.70777 18
143 0 11
144 3.53148 17
145 3.16367 14
146 0 12
147 0 12
148 0 19
149 0 10
150 0 21
151 0 17
152 3.06379 21
153 3.74706 14
154 0 10
155 3.44792 9
156 2.86671 13
157 4.17474 16
158 3.5439 21
159 0 16
160 0 12
161 0 9
162 3.71442 18
163 3.81494 11
164 0 12
165 3.56525 11
166 0 8
167 4.62836 13
168 0 17
169 2.80124 20
170 0 11
171 2.98379 13
172 2.88484 12
173 0 14
174 0 13
175 3.97913 19
176 3.72089 11
177 4.02206 19
178 0 14
179 0 9
180 3.94981 10
181 0 18
182 0 12
183 4.03515 19
184 0 9
185 3.41319 14
186 0 9
187 0 12
188 3.52661 14
189 0 12
190 0 18
191 0 10
192 0 11
193 0 15
194 3.46884 16
195 0 12
196 0 9
197 0 15
198 0 14
199 0 17
200 0 11
201 0 11
202 0 10
203 0 11
204 0 21
205 3.62102 7
206 3.72415 11
207 0 12
208 0 13
209 3.85954 11
210 0 10
211 3.36828 13
212 0 18
213 2.71054 18
214 0 11
215 3.66254 10
216 3.8074 12
217 2.60938 13
218 3.82306 10
219 0 10
220 3.77238 12
221 0 15
222 0 11
223 0 14
224 3.84729 15
225 0 13
226 0 10
227 3.86671 13
228 3.49205 15
229 0 13
230 0 12
231 3.26464 6
232 3.88527 20
233 0 9
234 3.8124 13
235 3.92032 11
236 3.4611 10
237 0 10
238 0 13
239 3.46688 15
240 0 8
241 4.13095 8
242 4.17054 11
243 3.23402 22
244 0 12
245 4.1541 8
246 0 9
247 3.34218 19
248 3.69787 14
249 0 19
250 0 9
251 0 14
252 3.88103 21
253 3.9492 12
254 0 13
255 0 11
256 0 13
257 3.61061 9
258 0 13
259 2.98552 12
260 0 13
261 0 14
262 0 8
263 4.38294 9
264 0 15
265 3.61182 11
266 3.16264 10
267 0 11
268 0 13
269 3.82975 8
270 4.02065 12
271 3.88018 6
272 0 9
273 0 18
274 0 16
275 3.8779 11
276 0 12
277 3.31443 11
278 3.87431 10
279 3.19698 11
280 0 16
281 3.2088 9
282 0 16
283 3.39994 19
284 3.63746 12
285 3.52056 15
286 0 13
287 0 6
288 0 10
289 0 15
290 3.44392 15
291 0 14
292 3.5879 9
293 0 15
294 0 8
295 0 16
296 0 11
297 4.04798 15
298 0 13
299 0 13
300 3.10362 14
301 0 15
302 0 19
303 0 18
304 3.69459 12
305 0 16
306 3.00958 9
307 3.23064 9
308 0 20
309 3.65515 12
310 4.17282 17
311 0 18
312 3.77215 15
313 4.20949 17
314 2.59004 17
315 0 8
316 0 13
317 2.81679 13
318 0 8
319 4.09073 11
320 0 17
321 0 12
322 4.27727 14
323 3.85415 9
324 3.42117 14
325 3.5772 16
326 4.1746 6
327 3.44411 12
328 2.02085 22
